x,y,accel,injury
4483,697,-0.5118052401106018,-0.3818850524688602
4369,699,-0.2010070507272395,-0.4514853065414824
4256,701,-0.13284673383215848,-0.2773243596122308
4142,702,-0.22968746249981153,-0.1623971288400503
4029,704,-0.051459667287032815,-0.25669812330696984
3915,706,0.22349312743719713,-0.20970108648086525
3802,707,-0.3774433878117555,-0.4514853065414824
3688,709,-0.09652465803135231,-0.357316924159659
3575,710,-0.15572820256041434,-0.4514853065414824
3461,712,-0.09907912735776167,-0.02926966321737982
3347,714,-0.23597293030363226,-0.24777946361247113
3234,715,-0.3235766631862787,-0.1648642767671126
3120,717,-0.3841430886585687,-0.09518830356918567
3007,719,-0.35753339891267777,-0.16743229331613754
2893,720,-0.33445825496703824,0.0829734548747489
2780,722,-0.2800269787364887,-0.29703293871726394
2666,724,-0.16544387408647115,0.3630533671021617
2553,725,-0.12360967509074346,-0.12781157096427367
2439,727,0.02089913993031095,-0.1889001353206481
2326,729,-0.18365349930033037,-0.3293286460440876
2212,730,-0.27450971268326585,-0.26623173386922977
2098,732,-0.1801571517794624,-0.372233515937144
1985,733,-0.31929965677401617,-0.4100820859148251
1871,735,-0.1259385501303319,-0.3552190181558607
1758,737,-0.3473954592963558,0.059926580204599324
1644,738,-0.0023694504218382782,-0.29801044435291235
1531,740,-0.14647578101192588,-0.08079802556654773
1417,742,0.28107032476834165,0.45666894818038745
1304,743,1.0306680675118405,1.5291655994288649
5222,785,0.7932218294880459,1.4116496814102468
5109,787,0.34630277525520736,0.9983200385166775
4995,788,0.4729830694516184,-0.13693647436152015
4882,790,-0.23014675051696992,-0.27986237581929246
4768,791,-0.32215435014586524,-0.37114522458298427
4655,793,-0.34090804145616593,-0.3889389169111624
4541,795,-0.47693708569666243,-0.40902599716490556
4427,796,-0.4650221212105163,-0.28581423021346253
4314,798,-0.27517919069657915,-0.18084406123504038
4200,800,-0.07286662200102678,-0.4091312227364083
4087,801,-0.10832436521511643,-0.4514853065414824
3973,803,-0.11816458617524073,-0.2835489107396578
3860,805,-0.09740599304464699,-0.17326128180819209
3746,806,-0.023512521183269845,-0.27509828456907587
3633,808,-0.29652697294504143,-0.4514853065414824
3519,810,0.18415217805580947,-0.3668113417391045
3406,811,-0.31062162146528477,-0.4514853065414824
3292,813,-0.09265700978972098,-0.19627633453042959
3179,814,0.061240932004057336,-0.3247345999811679
3065,816,-0.2986230356492333,-0.32331521879407465
2951,818,-0.2678429531757706,-0.15889806649227242
2838,819,-0.15237780683418536,-0.03302007409724977
2724,821,-0.2674406614537167,-0.15491249388454623
2611,823,-0.19889917875132596,0.032701896255419416
2497,824,-0.16282212188394704,0.05392221825770451
2384,826,-0.10365818613889133,-0.2197781496958079
2270,828,-0.34552325173219367,-0.14129912597663571
2157,829,-0.06004705874608533,-0.26103737742024197
2043,831,-0.006577612889364673,-0.4514853065414824
1930,832,-0.16076516529354473,-0.419929016312363
1816,834,-0.2660697960735502,-0.40223497416116555
1703,836,-0.2280824010476858,-0.3231114933715715
1589,837,-0.11225805917002978,-0.20450333382299712
1475,839,-0.025846683420727302,-0.15679895639749805
1362,841,0.0769279934453135,0.05280406281833005
1248,842,0.6884017034261672,1.6480932111649234
5280,882,0.4947782747848553,0.8067378485170428
5167,884,0.5329726075185868,0.17827523025133354
5053,886,0.11637885780299191,-0.1567376173611208
4940,887,0.06383417318695517,-0.25506210898367243
4826,889,-0.6192144518452939,-0.4514853065414824
4713,891,-0.46425389758249624,-0.403757202142871
4599,892,-0.35672602701005024,-0.363227041936172
4486,894,-0.33709684923197225,-0.4514853065414824
4372,895,-0.265526415953044,-0.38373435787770016
4259,897,-0.03776950700379527,-0.18628812494000035
4145,899,-0.18481113824470022,-0.3110819149768958
4032,900,-0.29283693765762375,-0.4514853065414824
3918,902,-0.2360526503338643,-0.4514853065414824
3804,904,-0.22740885787995024,-0.24889963474405227
3691,905,-0.41255787386453946,-0.41738657998241585
3577,907,-0.09315393487374998,-0.3011496950918256
3464,909,-0.29576060622008504,-0.3740696986708138
3350,910,-0.27541131129483604,-0.4514853065414824
3237,912,-0.34583678994697986,0.00012292830531439083
3123,913,-0.31586044847780753,-0.22807605203322553
3010,915,-0.37664464691716926,0.024755571304060614
2896,917,-0.003464066331238884,-0.22527973958350303
2783,918,-0.20412232430609553,-0.1925371666594354
2669,920,-0.06619103697416137,-0.14813011988427147
2555,922,-0.015437794432980156,-0.03351342372872274
2442,923,-0.3034110141449816,-0.07391462208125976
2328,925,0.2951539673962161,0.042037103741089564
2215,927,-0.22157235520178017,-0.228501497504078
2101,928,-0.2568360374908581,-0.3159014482839823
1988,930,-0.3463322514142155,-0.4514853065414824
1874,932,-0.23196165006501435,-0.4514853065414824
1761,933,-0.2124897118923561,-0.38893340605880605
1647,935,-0.31287219627591856,-0.3047373894681451
1534,936,-0.2175821946581243,-0.3902973839824957
1420,938,0.030964640146247308,-0.0984768890131047
1307,940,-0.1881481050061034,-0.03023925608520689
1193,941,0.5575768644568565,0.45813314939075855
5452,978,1.1007521155537452,2.295860179615734
5339,980,1.641193187160249,0.2554271212765253
5225,981,0.757326066759914,0.03403028863306575
5112,983,-0.07272077375391536,0.013135281734944678
4998,985,-0.2790361226916836,-0.3075600981306446
4884,986,-0.4747421691118431,-0.31276498360315524
4771,988,-0.5085281785012596,-0.2924938017238305
4657,990,-0.15931858396668352,-0.42619920420883
4544,991,0.02121770456533865,-0.2942339631506801
