gene,arm,base,CEBPB_delta,CEBPB_score,SPI1_delta,SPI1_score
C1QB,accelerator,5.216300964355469,-0.005220890045166016,3.883809440839018,-0.027339458465576172,11.448516221818288
C1QB,accelerator,5.988029479980469,4.57763671875e-05,6.084043648426955,-0.05116415023803711,17.052106562264164
C1QB,accelerator,5.414729118347168,-0.08519363403320312,7.251411971221375,-0.0013594627380371094,8.476609944231733
C1QB,accelerator,6.1421356201171875,-0.0036182403564453125,4.59017628813565,-0.832176685333252,20.141271526267836
C1QB,accelerator,6.186897277832031,-0.0015740394592285156,11.876972847127778,-1.6167898178100586,12.54261232310731
C1QB,accelerator,4.786310195922852,0.0017209053039550781,9.186478482124269,-1.237687349319458,21.74853472285494
C1QB,accelerator,5.681112766265869,0.011966705322265625,9.349282870157156,-0.009883880615234375,11.229270463856434
C1QC,accelerator,6.752566814422607,-0.009473323822021484,6.367731544010947,-0.504122257232666,13.763666826226114
C1QC,accelerator,6.040708541870117,-0.006656169891357422,3.1153194416202217,-0.06845998764038086,11.004051129998427
C1QC,accelerator,6.127845287322998,-0.10623025894165039,5.64576477037364,-0.09997224807739258,12.379046743014072
C1QC,accelerator,6.240755081176758,-0.011592388153076172,5.827364689614736,0.07529878616333008,12.856159493639414
C1QC,accelerator,3.607560157775879,0.0007040500640869141,9.324237044326306,-0.015865802764892578,12.962214705816447
C1QC,accelerator,5.216300964355469,-0.005220890045166016,3.883809440839018,-0.027339458465576172,11.448516221818288
C1QC,accelerator,5.988029479980469,4.57763671875e-05,6.084043648426955,-0.05116415023803711,17.052106562264164
C1QC,accelerator,5.414729118347168,-0.08519363403320312,7.251411971221375,-0.0013594627380371094,8.476609944231733
C1QC,accelerator,6.1421356201171875,-0.0036182403564453125,4.59017628813565,-0.832176685333252,20.141271526267836
C1QC,accelerator,6.186897277832031,-0.0015740394592285156,11.876972847127778,-1.6167898178100586,12.54261232310731
C1QC,accelerator,4.786310195922852,0.0017209053039550781,9.186478482124269,-1.237687349319458,21.74853472285494
C3,accelerator,4.915889263153076,-0.07442617416381836,9.600284239312868,0.014815807342529297,10.257090212090185
C3,accelerator,6.485243320465088,0.0072784423828125,4.832471988149522,-1.3284215927124023,17.86082462830415
C3,accelerator,6.453366756439209,-1.700425148010254,10.212816932392561,-0.009686470031738281,7.452380200358315
C3,accelerator,6.7208404541015625,-0.0005292892456054688,11.876972847127778,-0.016155242919921875,13.282456086209702
C3,accelerator,6.921818256378174,-0.003036022186279297,0.6545709208531885,0.04701948165893555,8.02158604428001
C3,accelerator,5.869564533233643,-0.013427257537841797,8.519222503923356,-0.11506986618041992,12.515237539850778
C3,accelerator,6.699949264526367,0.003631114959716797,9.271901248529645,-1.7048711776733398,14.940509082887974
C3,accelerator,7.0295209884643555,-0.01404714584350586,4.164966819330252,0.0012669563293457031,13.827430874849838
C3,accelerator,7.430554389953613,0.008179664611816406,11.686443937024361,-0.01185464859008789,13.626330474316468
C3,accelerator,6.966609001159668,0.0003566741943359375,10.404164039000541,-0.0037326812744140625,11.685044176481961
C3,accelerator,6.834519386291504,0.032773494720458984,6.2007436584649245,-0.026839256286621094,8.018098327652307
C3,accelerator,6.498651504516602,4.482269287109375e-05,8.715958450815581,-1.0710387229919434,19.44047141473696
C3,accelerator,6.585361480712891,0.009858131408691406,7.988875374849233,-0.0002465248107910156,10.491906941329644
C3,accelerator,6.6206135749816895,0.007140636444091797,7.406775308218844,-0.043764591217041016,10.491906941329644
C3,accelerator,5.957636833190918,0.0004515647888183594,7.406775308218844,-0.020900726318359375,10.491906941329644
CD44,accelerator,4.77976655960083,-0.008914947509765625,9.186478482124269,0.003726959228515625,11.961192689235283
CD44,accelerator,5.990912914276123,-0.0029668807983398438,3.6148731932887888,-0.6098990440368652,14.752341608808628
CD44,accelerator,5.855445384979248,-0.006375312805175781,7.53990210006224,0.07463502883911133,16.55623996287419
CD44,accelerator,6.54212760925293,0.052928924560546875,9.736058347724379,0.0017542839050292969,12.386567793322948
CD44,accelerator,5.538339138031006,0.00170135498046875,8.708739637094965,-1.0728840827941895,11.142502328574851
CD44,accelerator,5.901994228363037,-0.0033473968505859375,6.579654961024669,-0.9482316970825195,16.070104591132015
